objectid,Reporter,ComName,SciName,OccStatus,ObsDate,DateAcc,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Method,DataType,LocalOwner,Habitat,Locality,Site,InfestAcre,GrossAcre,Abundance,Density,NumCollect,Percentcov,TreatArea,TreatComm,Quantity,QuantityU,TrapType,NumTraps,Comments,VisitType,CollectTme,Surveyor,RecSource,RecOwner,RecSrcTyp,OrigName,Nativity,Host,Host_Name,VerifyMthd,IDCred,Verified,Reviewer,ReviewDate,OrgSrcID,PID,Voucher,Museum,MuseumRec,Reference
7631778,janis krieger na,glossy buckthorn,Frangula alnus,Positive,7/13/2018,,13-Jul-18,13-Jul-18,"Rockingham, New Hampshire, United States",42.96244,-70.89101,WGS84     ,5,,,,,,,0,,,Low,,,,,,,,,,,5,,,General Public,Android,,Introduced,,,Photographs,Verified,Verified,Douglas Cygan,16-Jul-18,,,,,,
7626508,Brett Thelen Harris Center for Conservation Education,glossy buckthorn,Frangula alnus,Treated,6/11/2018,,28-Jun-18,,"Hillsborough, New Hampshire, United States",42.96272,-72.05265,WGS84     ,,,,,Forests: Mixed                                    ,"Take Old Dublin Road, park at the Cadot trail head. About 1 mile uphill on the Cadot Trail. Reach where trail takes sharp turn and enter forest to left. Follow GPS coordinates to get to the plot.",,0.62,1,,,,Low,,,,,,,Plants were treated by hand-pulling by the 2018 KSC Harris Center Interns.,,,,,General Public,Web Report,,Introduced,,,Photographs,Verified,Verified,Douglas Cygan,02-Jul-18,,,0,,,
7608835,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,8/24/2017,,11-Jun-18,16-Oct-17,"Grafton, New Hampshire, United States",44.12133,-71.80273,,,,,,,,,0.13,0.13,,,,2,,,,,,,,,,"Jacques, Marie-Eve | Johnson, Rachel",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,092204_2017_09,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7561160,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,9/28/2002,,11-Jun-18,25-May-07,"Carroll, New Hampshire, United States",44.14778,-71.1982,,,,,,,,,0.02,0.02,,,,0.5,,,,,,,,,,"Miles, Meghan",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,922051279,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7549273,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,10/3/2002,,11-Jun-18,25-May-07,"Carroll, New Hampshire, United States",44.14285,-71.15898,,,,,,,,,0.02,0.02,,,,0.5,,,,,,,,,,"Smillie, Pam",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,922051841,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7549266,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,9/3/2007,,11-Jun-18,28-Sep-07,"Carroll, New Hampshire, United States",43.98107,-71.13211,,,,,,,,,1.51,1.51,,,,0.5,,,,,,,,,,"Mattrick, Chris, -",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,092205_2007_07,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7537215,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,9/28/2002,,11-Jun-18,25-May-07,"Carroll, New Hampshire, United States",44.14778,-71.1982,,,,,,,,,0.02,0.02,,,,0.5,,,,,,,,,,"Miles, Meghan",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,922051280,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7537213,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,10/10/2001,,11-Jun-18,25-May-07,"Carroll, New Hampshire, United States",44.18493,-71.22664,,,,,,,,,0.02,0.02,,,,0.5,,,,,,,,,,"Ewing, Mo",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,92205351,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7533631,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,9/5/2002,,11-Jun-18,25-May-07,"Grafton, New Hampshire, United States",44.01287,-71.42622,,,,,,,,,0.02,0.02,,,,0.5,,,,,,,,,,"Ewing, Mo",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,922051543,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7533416,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,10/11/2001,,11-Jun-18,25-May-07,"Carroll, New Hampshire, United States",44.14996,-71.17564,,,,,,,,,0.02,0.02,,,,0.5,,,,,,,,,,"Ewing, Mo",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,92205234,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
7511915,USDA Forest Service Natural Resource Information Systems (NRIS) ,glossy buckthorn,Frangula alnus,Positive,8/9/2016,,11-Jun-18,23-Oct-17,"Grafton, New Hampshire, United States",43.99525,-71.89701,,,,,,,,,116.89,116.89,,,,,,,,,,,,,,"Sperduto, Dan | Jacques, Marie-Eve | Johnson, Rachel",,Federal Agency,Bulk Data,Frangula alnus,Introduced,,,,,Verified,,,092204_2017_13,https://usfs.maps.arcgis.com/home/item.html?id=cfa7600b5e81444c83adb26f798fb7f2,,,,
